State,"Length of Highway---Km(interstate highway, US highway, State highway)",Density of highway---Km/100Km^2,Calculated Area---Km^2
District of Columbia,39,24.66,158.1508516
New Jersey,2040,10.71,19047.61905
Connecticut,1340,10.68,12546.81648
Rhode Island,282,10.54,2675.521822
Massachusetts,1854,9.18,20196.07843
Maryland,1438,5.72,25139.86014
Pennsylvania,5710,4.93,115821.501
Ohio,5045,4.77,105765.1992
New York,5544,4.54,122114.5374
Delaware,188,3.73,5040.214477
Illinois,4856,3.38,143668.6391
Vermont,769,3.22,23881.98758
Virginia,3052,2.98,102416.1074
New Hampshire,679,2.93,23174.06143
North Carolina,3662,2.91,125841.9244
Michigan,4242,2.9,146275.8621
Florida,3971,2.86,138846.1538
Indiana,2596,2.8,92714.28571
Kentucky,2824,2.76,102318.8406
Tennessee,2674,2.5,106960
South Carolina,1771,2.27,78017.62115
California,8914,2.21,403348.4163
Wisconsin,2751,1.96,140357.1429
West Virginia,1168,1.88,62127.65957
Georgia,2676,1.8,148666.6667
Missouri,3058,1.72,177790.6977
Oklahoma,2924,1.65,177212.1212
Iowa,2337,1.62,144259.2593
Louisiana,1725,1.54,112012.987
Alabama,1889,1.44,131180.5556
Mississippi,1735,1.43,121328.6713
Washington,2315,1.35,171481.4815
Texas,8496,1.26,674285.7143
Minnesota,2466,1.2,205500
Arkansas,1595,1.18,135169.4915
Kansas,2325,1.1,211363.6364
Maine,847,1.06,79905.66038
Utah,2006,0.94,213404.2553
Colorado,2275,0.85,267647.0588
Arizona,2513,0.85,295647.0588
Wyoming,1998,0.79,252911.3924
South Dakota,1516,0.77,196883.1169
North Dakota,1353,0.76,178026.3158
Montana,2783,0.74,376081.0811
Oregon,1783,0.72,247638.8889
Idaho,1373,0.64,214531.25
New Mexico,1961,0.62,316290.3226
Hawaii,95,0.57,16666.66667
Nebraska,1061,0.53,200188.6792
Nevada,1329,0.47,282765.9574
Alaska,147,0.01,1470000
